NUMBER	NAME	TYPE	CATEGORY	DMG	ACC	PP	DESCRIPTION
0	Barrage	NORMAL	PHYSICAL	15	85	20	Hits 2-5 times in one turn.
1	Bide	NORMAL	PHYSICAL	-1	-1	10	User takes damage for two turns then strikes back double.
2	Bind	NORMAL	PHYSICAL	15	85	20	Traps opponent, damaging them for 4-5 turns.
3	Bite	DARK	PHYSICAL	60	100	25	May cause flinching.
4	Body Slam	NORMAL	PHYSICAL	85	100	15	May paralyze opponent.
5	Bone Club	GROUND	PHYSICAL	65	85	20	May cause flinching.
6	Bonemerang	GROUND	PHYSICAL	50	90	10	Hits twice in one turn.
7	Clamp	WATER	PHYSICAL	35	85	10	Traps opponent, damaging them for 4-5 turns.
8	Comet Punch	NORMAL	PHYSICAL	18	85	15	Hits 2-5 times in one turn.
9	Constrict	NORMAL	PHYSICAL	10	100	35	May lower opponent's Speed by one stage.
10	Counter	FIGHTING	PHYSICAL	-1	100	20	When hit by a Physical Attack, user strikes back with 2x power.
11	Crabhammer	WATER	PHYSICAL	100	90	10	High critical hit ratio.
12	Cut	NORMAL	PHYSICAL	50	95	30	Attacks the opponent.
13	Dig	GROUND	PHYSICAL	80	100	10	Digs underground on first turn, attacks on second. Can also escape from caves.
14	Dizzy Punch	NORMAL	PHYSICAL	70	100	10	May confuse opponent.
15	Double Kick	FIGHTING	PHYSICAL	30	100	30	Hits twice in one turn.
16	Double Slap	NORMAL	PHYSICAL	15	85	10	Hits 2-5 times in one turn.
17	Double-Edge	NORMAL	PHYSICAL	120	100	15	User receives recoil damage.
18	Drill Peck	FLYING	PHYSICAL	80	100	20	Attacks the opponent.
19	Earthquake	GROUND	PHYSICAL	100	100	10	Power is doubled if opponent is underground from using Dig.
20	Egg Bomb	NORMAL	PHYSICAL	100	75	10	Attacks the opponent.
21	Explosion	NORMAL	PHYSICAL	250	100	5	User faints.
22	Fire Punch	FIRE	PHYSICAL	75	100	15	May burn opponent.
23	Fissure	GROUND	PHYSICAL	-1	-1	5	One-Hit-KO, if it hits.
24	Fly	FLYING	PHYSICAL	90	95	15	Flies up on first turn, attacks on second turn.
25	Fury Attack	NORMAL	PHYSICAL	15	85	20	Hits 2-5 times in one turn.
26	Fury Swipes	NORMAL	PHYSICAL	18	80	15	Hits 2-5 times in one turn.
27	Guillotine	NORMAL	PHYSICAL	-1	-1	5	One-Hit-KO, if it hits.
28	Headbutt	NORMAL	PHYSICAL	70	100	15	May cause flinching.
29	High Jump Kick	FIGHTING	PHYSICAL	130	90	10	If it misses, the user loses half their HP.
30	Horn Attack	NORMAL	PHYSICAL	65	100	25	Attacks the opponent.
31	Horn Drill	NORMAL	PHYSICAL	-1	-1	5	One-Hit-KO, if it hits.
32	Hyper Fang	NORMAL	PHYSICAL	80	90	15	May cause flinching.
33	Ice Punch	ICE	PHYSICAL	75	100	15	May freeze opponent.
34	Jump Kick	FIGHTING	PHYSICAL	100	95	10	If it misses, the user loses half their HP.
